Subjects,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30
ucFJfLDOA5,plane ,1,ambulance,1,van ,1,wood  house,1,baby and banana,3,car,1,bird,1,bridge,2,crab,1,parrot ,1,fish,1,none,0,shell / turtle ,3,snake and flower,0,hot air balloon ,2,ocean ,0,barrel and fish ,3,bike and bird,3,leopard,2,rooster,2,none,0,owl ,2,bird,1,frog and sailboat,3,phone booth ,2,fire hydrant ,0,person ,1,corn and guitar,3,ship,1,
djjo4j1mjB,airplane on a tarmac ,1,ambulance van ,1,old woody van ,1,old barn made of wood ,1,baby doll and banana ,3,"tennis ball, old car ",3,pizza and an eagle ,3,"bird, bridge ",3,"fish, graffiti ",2,bird like a parrot ,1,television set ,2,telephone ,2,"eagle, seashell ",3,snail and flower ,0,"hot air balloon, whale ",3,whale,1,"barrel, eagle ",3,"bicycle, chicken ",3,"jaguar, toy car ",3,chicken/rooster,2,shoes,1,"owl, barn ",2,"bird, grass ",1,"boat, frog ",3,telephone booth (red),2,"car, ",2,accordion player ,1,"corn, guitar ",3,"navy ship, lion ",3,
7ULrE58kHn,monument,0,car,1,car,1,house,1,baby,1,car,1,bird,1,bridge,2,fish,2,parrot,1,house,0,box,2,eagle,2,snakes,1,baloon,2,fish,1,box,2,cycle,2,fish,0,fish,2,fish,2,owl,2,bird,1,fish,2,girl,0,house,0,men,1,violin ,1,foart,1,
mWMG4IBiO6,plane,1,ambalance truck,1,car,1,house,1,baby,1,car,1,pizza,2,brigde,2,shrit,0,bird,1,copywriter,2,phone,2,eagle,2,snakes,1,whale,1,whale,1,barrel,2,bike,2,cheether,2,bird,2,shoes,1,owel,2,cat,0,sail boat,1,carnaval ride,0,school bus,2,music instument,1,guitar,1,big ship,1,
RPHyCYb3gq,An airplane.,1,An ambulance,1,A cat face and also an old WW ban,3,A deers face and a stable,3,A kid and also a banana,3,A white car and a hand holding a tennis ball. ,3,an eagle and pepperoni pizza,3,A bridge and a hooded person. ,2,cant recall,0,a tucan ,1,A computer and a football,2,A green phone and a bird,3,An eagle and what seems like two white shells in the sky.,3,snakes and flowers.,1,a hot air ballon and a tail ,3,a whale,1,A barrel and a fish. ,3,A yellow bird and a red bycile,3,A leopard or tiger and a lawn mower.,3,A rooster,2,sandals,1,A car and a giant owl. ,3,a bird and grass ,1,a frog and a sailboat. ,3,"Public telephone booth, someone inside it. ",2,a car ,2,cant recall,0,corn and a guitar,3,a boat,1,
WqhkXF9kYK,nothing,0,van,1,van,1,barn,1,nothing,0,car,1,hawk,1,bridge,2,wall,0,nothing,0,nothing,0,phone,2,nothing,0,dish,0,nothing,0,nothing,0,nothing,0,bike,2,man,0,nothing,0,stripes,2,owl,2,nothing,0,numbers,0,red and orange,0,nothing,0,accordian,1,guitar,1,ship,1,
KQPMCHrMIg,owl,2,car,1,car,1,house,1,baby,1,"car
",1,eagle,1,bridge,2,fish,2,parrot,1,fish,1,fish,1,owl,2,bowl,0,fish,1,big fish,1,fish,1,cycle,2,leopard ,2,fish,2,fish,0,owl,2,bird,1,fish,2,booth,2,car,2,man,1,guitar,1,building,1,
K7x2sZUAkp,cat on float,3,ambulance,1,old VW bus,1,old wooden building in disrepair,1,baby and banana,3,tennis ball and car,3,plate and eagle,3,bridge,2,none,0,parrakeet,1,open suitcase,0,telephone,2,bird,2,snake and flower,1,hot air balloon,2,bird and water,2,barrel and fish,3,bicycle,2,car,1,rooster,2,shoes,1,owl,2,heron,1,sailboat,1,phone booth and bird,2,car,2,accordion and person,1,guitar,1,cruise ship,1,
lfOU6WfRVs,some kind of animal,2,ambulance,1,yellow old van,1,old brown barn,1,banana baby,3,tennis ball or maybe a lime and some sort of scenery image,2,eagle bacon?,3,bridge,2,some sort of blue background with an animal silhouette ,2,person?,0,fish computer,3,game device,2,shells bird,3,snake,1,sky air ballon,2,animal,0,barrel fish,3,bird bicycle,3,lepoard,2,rooster,2,shoes,1,owl ship,3,animal grass,1,sailboat,1,phone booth person,2,something yellow,0,person,1,corn,2,ship dog,3,
GZYAyYgLeL,Plane,1,Car,1,Van,1,House,1,Scary banana baby,3,Tennis ball car,3,Pizza hawk,3,Bridge,2,Crab,1,None,0,Yellow truck,0,None,0,Seashell eagle,3,Snake flower,1,None,0,Whale,1,None,0,Bird bike,3,Jaguar Lawnmower,3,Rooster ,2,Snail,2,Owl,2,Bird,1,Frog,2,Phone booth,2,None,0,Piano,1,Corn guitar ,3,Boat,1,
72YHj5QBIg,none,0,bus,1,"van
",1,mountain,0,baby,1,car,1,none,0,bridge,2,none,0,parrot,1,none,0,typewriter,2,shell,1,none,0,balloon,2,none,0,none,0,bike,2,leopard,2,rooster,2,cat,2,owl,2,turkey,1,turtle,2,none,0,none,0,musician,1,guitar,1,boat,1,
z4jpJsXYNm,car,1,ambulance,1,VW bus,1,old barnhouse or decaying home,1,baby with banana overlayed,3,car with green apple overlayed,3,pizza,2,"woman, net",0,tattoo,2,parrot,1,clownfish,1,telephone,2,seashells,1,"snake, flower",1,"hot air balloon, dolphin",3,butterfly,2,"fish, barrel",3,"parakeet, bicycle",3,"leopard, lawn mower",3,rooster,2,shoes,1,owl,2,stork like bird (heron),1,"boat, frog",3,telephone booth,2,yellow car,2,"accordion, man",1,"corn, guitar",3,"camel, ship",3,
t18JfWUACY,Airplane,1,Ambulance ,1,VW bus vehicle ,1,Old farm house,1,baby and a banana image over it,3,old green car with a hand holding a green apple.,3,a hawk and a moon,1,a bridge and what looked like a person,2,an octopus,1,a parrot,1,a snake,1,a phone and a black scorpion ,3,shells and an eagle,3,a snail and a flower,2,a whale tail and a hot air baloon,3,a killer whale ,1,a barrel and a gold fish,3,a red bicycle,2,a leopard and a lawn mower ,3,a rooster,2,a pair of shoes,1,an owl and a boat on the sea,3,a bird,1,a frog and a yellow boat,3,a red phone booth and a pumpkin face,3,a school bus,2,a man playing an accordion ,1,a guitar with a piece of corn,3,a lion and a navy ship,3,
MgsFRFk66X,Space shuttle,1,Ambulance,1,VW Bus,1,Shack,1,None,0,Car,1,Eagle,1,Bridge,2,Painting?,2,Parrot,1,?,0,?,0,?,0,?,0,Hot air balloon,2,Dolphin,1,Barrel,2,Bicycle,2,Leopard,2,Rooster,2,Zebra,2,Owl,2,Kangaroo?,0,Sailboat,1,Phone booth,2,?,0,Accordion,1,Guitar,1,Battleship,1,
Ax0aSSVXfE,an animal,2,ambulance,1,a van,1,a barn and a deer,3,a baby,1,a van,1,hawk,1,a bridge,2,not sure,0,a parrot,1,not sure,0,calculator,0,eagle,2,not sure,0,hot air balloon,2,whale,1,fish,1,bird and bike,3,leopard,2,rooster,2,zebra,2,owl,2,a bird,1,a frog,2,a telephone booth,2,girraffe,0,not sure,0,corn,2,a ship,1,
gBzLnxlYGE,squirrel ,2,home ,1,car,1,home ,1,child ,1,race car ,1,hen,0,cap,0,car,0,parrot ,1,sofa ,0,keyboard or video game station ,2,bird,2,flower and butterfly,0,para shoot ,2,sea and boat,0,eagle or bottle ,0,bicycle ,2,tiger ,2,bird,2,spices ,0,"eagle , owl ",2,peacock ,1,rat or flower ,0,umbrella or clothes ,0,lorry ,2,person ,1,guitar ,1,big palace or boat ,1,
7g9df1TY6T,Aeroplane,1,car,1,Van,1,House,1,none,0,Car,1,Something is served in a plate,2,House,0,blanket,0,Parrot,1,none,0,telephone,2,Clouds,0,none,0,Ballon,2,aquatic animal,1,none,0,bicycle,2,car,1,parrot,2,pair of sandal,1,cargo ship,1,ostrich,1,painting,0,telephone booth,2,none,0,none,0,fish,0,camel,2,
1jWfSGuL8J,cat,1,ambulance,1,VW bus,1,old shack,1,a man mixed with a banana,3,old car from the 50s,1,pizza,2,bridge,2,can of soup,2,colorful bird,1,nemo fish,1,green phone,2,seashell,1,none,0,hot air balloon,2,whale,1,keg,2,bike,2,cheetah,2,rooster,2,none,0,owl,2,none,0,sailboat,1,phone booth,2,school bus,2,none,0,corn and guitar,3,battle ship,1,
EZL87xQpN7,a bear,2,a car,1,an old car,1,a house,1,a baby,1,a car,1,an eagle,1,a house,0,none,0,a parrot,1,none,0,a snake,1,a bird,2,a snake,1,a hot air ballon,2,a dolphin,1,none,0,a bicycle,2,a leopard,2,a rooster,2,a snake,2,an owl,2,none,0,none,0,a telephone booth,2,none,0,a man,1,none,0,a building,1,
GTo1Pfb1v5,none,0,ambulance,1,van,1,old barn,1,bananna,2,car,1,none,0,bridge,2,none,0,parrot,1,none,0,telephone,2,none,0,snake,1,hot air baloon,2,"none
",0,barrel,2,"bicycle
",0,none,0,chicken,2,none,0,owl,2,none,0,sail boat,1,phone booth,2,none,0,tuba,1,corn on the cob,2,boat/ship,1,
156N4xjtDy,nature,0,vehicle,1,car,1,house,1,face,1,car,1,bird,1,bridge,2,crab,1,bird,1,snake,1,cpu,0,bird,2,snake,1,balloon,2,hand,0,face,0,cycle,2,tiger,2,hen,2,x-ray,0,none,0,bird,1,butterfly,1,person,0,car,2,person,1,violin,1,mountain,0,
Zkm4of7spZ,plane,1,ambulance,1,van,1,barn,1,banana,2,car,1,eagle,1,bridge,2,spider,1,parrot,1,snake,1,bike,0,bird,2,snake,1,hot air balloon,2,whale,1,fish,1,bike,2,tiger,2,rooster,2,cat,0,owl,2,chicken,1,boat,1,phone booth,2,bus,2,xylophone,1,guitar,1,ship,1,
y10XqyW3nm,airplane,1,ambulance,1,van,1,none,0,"banana, baby",3,window,0,eagle,1,bridge,2,none,0,none,0,none,0,green telephone,2,bird,2,the color purple,0,hot air balloon,2,orca,1,barrel,2,bike,2,none,0,turkey,2,none,0,owl,2,none,0,sailboat,1,none,0,none,0,child,1,none,0,furry animal (dog?),2,
23r5J02KZo,"Small passenger aircraft, airfield",1,"A van with decals suggesting either medical, police, or other purpose",1,"An old van, perhaps a Volkswaggon, tan, muddy colors.   There seemed to be a horse overlaying the im",3,"Farm house, with an overlay of some kind of bug or horned animal.",3,Banana overlaying a baby doll,3,An old car with perhaps a lime or tennis ball overlay,3,"An eagle like bird of prey, with something overlaying it that resembled rectangular pizza",3,A fence on a farm + a dark figure with perhaps a white hat,3,Something resembling a clam + graffiti,1,A parrot + a green snake,1,A laptop or desktop + a fish,3,Some kind of green machine resembling a phone + a deer?  ,3,An eagle + an some sort of aquatic creature + a nut,3,A lilliac or other purple flower + a snake,1,A hot air ballon + a whale tail,3,"This was a tough one, there was water and what seemed like a dock, and some sort of mash of machiner",0,A yellow wish and some sort of wine barrel like object also seemingly yellow,3,A bicycle + a grey bird,3,A cougar + a red lawn mower,3,"A rooster + not sure, it seemed like the interior of a barn",3,Heel shoes + some sort of zebra striped rock,3,A military boat + an owl,3,A crane like bird + grass,1,a frog + a colorful sailboat,3,"Tough one, a clown in a telephone booth",2,"Some sort of (cat like?) animal, and an (anthromorphic?) bus",2,"A person playing an accordion like instrument, not sure the other",1,Corn + guitar,3,a large military ship or tank + a flat faced dog,3,
pFjyRndzCQ,plane,1,van,1,dog,2,house,1,banana,2,car,1,bird,1,none,0,cat,0,parrot,1,none,0,none,0,eagle,2,none,0,none,0,pool,0,barrel,2,cycle,2,none,0,cock,2,none,0,owl,2,peacock,1,none,0,none,0,none,0,men,1,none,0,none,0,
eBTrGshPMn,Rabbit,2,Bus,1,Car,1,Hut,1,Banana,2,Car,1,None,0,Bridge,2,None,0,Parrot,1,None,0,None,0,Eagle,2,None,0,Hot Air Balloon,2,None,0,None,0,Tri Cycle,2,Tiger,2,None,0,Cat,0,Lion,0,None,0,None,0,Booth,2,Small Bus,2,None,0,Guitar,1,None,0,
n7hT24l8b3,"animal/donkey/something white, an animal with large ears pointing up.",2,"a vehicle, most probably an ambulance or a white-red jeep.",1,A white car/ambulance.,1,A cabin or a wooden house/structure with wires either hanging around the boundary or forming the bou,3,A baby.,1,"A white-green car, seems like a vintage model.",1,A plate and a bird.,3,A white bird perched atop a net seen on a tennis or badminton court.,1,blue background and either a frog or an octopus-kind creature.,0,A blue-yellow bird/parakeet.,1,None,0,scorpion or something similar to it.,1,white clouds and bird flying amidst clouds.,2,"a shell, a snake and something else too. Something pink in the background.",3,"A white, red and blue colored hot air balloon.",2,Water and a bird flying over it? Not sure though.,2,"A mustard colored drum, some animal kind of shape on the drum. Frog?",3,A red bicycle,2,a cat or a leopard.,2,"a bird, was it a hen or a rooster?",2,"cat? not sure though, it was more of blackish in color, seemed like an owl or a cat.",0,a bird,2,a bird,1,None ,0,A red pay phone booth ,2,an orangish structure.,0,"a person with some object, maybe a musical item.",1,corn cob,2,A building,1,
8R1gnjNMfN,sky,1,ambulance,1,winnebago,1,old cabin,1,baby,1,car,1,none,0,none,0,frog,0,parrot,1,none,0,none,0,eagle,2,snake,1,hot air balloon,2,eagle,0,none,0,bike,2,cheetah,2,chicken,2,none,0,owl,2,ostrich,1,none,0,telephone booth,2,bus,2,piano,1,guitar,1,none,0,
IN0GdyJuJQ,dirtbike,0,ambulance,1,old car,1,old house,1,banana and baby,3,tennis ball and car,3,eagle and moon,1,"bridge, large white ball",2,crab,1,parrot standing on rock,1,table with dishes,2,old green phone,2,eagle flying in clouds,2,snail on purple flower,2,hot air balloon flying,2,whale jumping out of water,1,barrel,2,old bicycle,2,leopard spots with skateboard,3,chicken,2,shoes,1,owl standing on a piece of wood,2,peacock,1,frog and sailboat,3,woman in phone booth,2,school bus,2,man playing accordian,1,guitar,1,dog and building,3,
gmmad2Mv0V,cat,2,car,1,van,1,house,1,baby,1,car,1,none,0,net,0,none,0,parrot,1,none,0,none,0,eagle,2,snake,1,air balloon,2,waterfalls,0,none,0,bicycle,2,none,0,none,0,zebra,2,owl,2,bird,1,none,0,none,0,none,0,man playing an instrument,1,guitar,1,none,0,
F49ejhvRaa,none,0,car,1,rabbit,2,house,1,baby,1,car,1,none,0,none,0,drum,0,none,0,none,0,none,0,sea shell,1,octopus,0,hot air balloon ,2,moth,2,none,0,bicycle,2,cheeta,2,none,0,none,0,owl,2,none,0,none,0,telephone booth,2,none,0,none,0,,0,,0,
dmVea0hFCn,airplane,1,Van parked in front of a building,1,van,1,old wooden house,1,a banana and a baby,3,tennis ball and a car,3,an eagle and pizza,3,a bridge,2,none,0,a parrot,1,a computer,2,none,0,shells,1,snake,1,hot air balloon,2,none,0,a wooden barrel and a fish,3,a bird and a bicycle,3,a lawn mower,1,a rooster,2,none,0,an owl,2,none,0,a boat,1,a telephone booth,2,a taxi,2,a man,1,a guitar,1,a lion,2,
2bd8pzZVji,none,0,ambulance,1,vw bus,1,old barn,1,baby,1,vintage car,1,plate with bacon,2,none,0,none,0,none,0,none,0,none,0,none,0,none,0,hot air balloon,2,none,0,wooden barrel,2,bicycle,2,none,0,rooster,2,shoes,1,none,0,bird,1,sails,1,phone booth,2,car,2,accordion player,1,guitar,1,none,0,
