,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31
m2ERx6dG4k,  plants,0,tree,0,none,,"none
",,none,0,none,0,wagon,2,none,0,none,0,sock,2,"dog
",2,kangaroo,2,eggs,2,elephant,2,hand,0,none,0,ant,2,cheetah,2,lady,2,"bucket
",2,piano,2,zebra,2,gun,2,flower,2,banana,2,none,0,salt,0,none,0,watch,2,none,0,
fOnc49n4Jj,none  ,0,None,0,Monkey,2,watch,2,None,0,Cap,2,none,0,none,0,tiger,2,none,0,none,0,Kangroo,2,none,0,elephant,2,none,0,none,0,ant,2,none,0,none,0,Tea cup,2,none,0,Zeebra,2,none,0,Flower,2,none,0,none,0,Glass,2,none,0,none,0,none,0,
fNiwr8JtEM,none  ,0,none  ,0,none  ,0,none  ,0,none  ,0,none  ,0,none  ,0,a wheel ,2,none  ,0,a chimpanzee ,0,none  ,0,none  ,0,none  ,0,a gorilla ,2,none  ,0,none  ,0,none  ,0,a leopard ,2,none  ,0,a pot,2,books ,2,a zebra ,2,none  ,0,flowers ,2,none  ,0,none  ,0,none  ,0,none  ,0,none  ,0,none  ,0,
3kpYL8wRTL,  lipsticks,2,rainbow,0,gorilla,2,box,0,pearls,0,hat,2,wagon,2,fan,2,tiger,2,flower,0,dog,2,kangaroo,2,peaches,2,elephant,2,eel,2,pelican,2,ant,2,giraffe,2,nothing,0,cup,2,books,2,zebra,2,gun,2,flower,2,banana,2,nothing,0,cup,2,pencil,0,watch,2,lion,2,
4pmNr0Dq1v,rocks  ,0,painting,0,gorilla,2,clock,2,paint,0,hat,2,grass,0,wheel,2,tiger,2,lighthouse,0,dog,2,deer,2,eggs,2,elephant,2,planet,0,duck,2,bug,2,cheetah,2,paint,0,pot,2,piano,2,zebra,2,gun,2,flower,2,bananna,2,tiger,0,bucket,2,no idea,0,no idea,0,no idea,0,
qf0mdsWmZ6,  lipstick,2,lightning,0,ape,2,a watch,2,cookie,2,cowboy hat,2,none,0,fan,2,ape,2,ice cream cone,0,dog,2,kangaroo,2,lemons,2,elephant,2,snake,2,pelican,2,spider,2,cheetah,2,man in canoe,2,bucket,2,piano,2,zebra,2,revolver,2,daisy,2,bananas,2,none,0,glass,2,none,0,hand,0,dog,2,
SA31yh6SYq,none  ,0,abstract art/colors.  It looked like a colorful abstract art painting,0,something brown.  A rock perhaps,0,colorful circular shapes,0,none,0,"none
",,none,0,a stand up fan,2,none,0,none,0,some type of animal.  a dog?,2,kangaroo,2,cookies,2,a baby elephant perhaps.,2,none,0,a flamingo,2,an ant or a spider,2,"a leopard, maybe a group of leopards",2,"a woman in a yellow ballgown, holding the material of her dress",2,possibly a yellow tea cup with liquid in it,2,a baby grand piano,2,a zebra.,2,none,0,several flowers.  They looked like daisies. either pinkish or white,2,"fruit, or bananas",2,none,0,an empty drinking glass,2,none,0,none,0,"abstract colors, bright yellow white and pink.",0,
T6WUIZKg9j,lipsticks  ,2,N/A,0,orangutan,2,watch,2,coins,0,man in hat,2,lemon slices,0,fan,2,tiger,2,N/A,0,animal,2,cangaroo,2,balls,2,elephant,2,N/A,0,pelican,2,ant,2,leopard,2,N/A,0,cup,2,N/A,0,zebra,2,revolver,2,camomile flower,2,banana,2,N/A,0,glass,2,N/A,0,N/A,0,N/A,0,
hgnwuOML6b,lipstick,2,towel of a beach,0,orangatan,2,watch and cloth items,2,donuts,2,cowboy hat,2,stage coach with wheels,2,oscillating fan,2,face of a tiger,2,"vegetable, maybe eggplant",0,goat,2,kangaroo,2,grapes,2,elephant,2,"mammal of some sort, maybe aardvark",,flamingos,2,army ant,2,two cheetahs,2,bat,0,cooking pot,2,stack of books,2,zebra,2,revolver,2,daisies,2,bunch of bananas,2,flock of birds,2,glass of water,2,group of cyclists,0,a few wrist watches,2,group of people,0,
gZlSso5S3s,  lipstick,2,abstract colors,0,none,0,watch,2,none,0,cowboy hat,2,wagon/carriage,2,circular object,2,tiger,2,christmas stocking,2,dog with tongue out,2,deer,2,balls,2,elephant,2,none,0,"bird of some type, a stork?",2,bug,2,cheetah,2,lady in a dress,2,bucket,2,none.,0,zebra,2,gun,2,flower,2,banana,2,none,0,paint bucket,2,none,0,watch,2,none,0,
koTDSZCFv8,bullets  ,0,spider,2,gorilla,2,compass,2,chain,0,cowboy hat,2,wagon,2,fan,2,"tiger
",,woman,0,dog,2,kangaroo,2,pears,2,elephant,2,none,0,gull,2,ant,2,leopard,2,person rowing a boat,2,bucket,2,piano,2,zebra,2,gun,2,flower,2,none,0,plane,2,spring,0,glove,0,watches,2,none,0,
9vSqxjLzST,dogs  ,0,colored drawings,0,gorilla,2,wristwatch,2,none,0,cowboy hat,2,wheels,2,room fan,2,tiger,2,none,0,dog,2,kangaroo,2,eggs,2,elephant,2,none,0,duck,2,spider,2,cheetah,2,none,0,cooking pot,2,piano,2,zebra,2,none,0,flowers,2,bananas,2,none,0,drinking glass,2,none,0,wristwatches,2,none,0,
sRq2Ysbjop,Lipstick  ,2,Fabric,0,Owl,0,Compass,2,Coins,0,Hat,2,Model T car,2,Old oscillating fan,2,Tiger,2,One piece bathing suit on a sewing mannequin ,0,Bear,2,Kangaroo,2,Eggs in a basket,2,Elephant,2,Jackal dog,,Bird like a water crane,2,Spider or insect,2,Leopard or leopard print,2,Cave painting,0,Metal cup,2,Bird about to take flight,0,Zebra,2,Revolver,2,Flower,2,Bananas,2,None,0,Glass of water,2,None,0,Wrist watches laid out on a table,2,Puppy or sheep,2,
LfXpdmQoez,Plus sign  ,0,Palm tree,0,Gorilla,2,phone,0,Couch,0,Cowboy hat,2,Car,2,Fan,2,Tiger,2,Eggplant,0,Dog,2,Kangaroo,2,eggs,2,elephant,2,crow,,pelican,2,spider,2,leopard,2,boat,0,bucket,2,piano,2,zebra,2,gun,2,flower,2,banana,2,whale,0,glass,2,fish,0,watches,2,elephant,2,
CE1F7q5zMY,Flowers  ,0,Flowers,0,Color,0,Watchs,2,Colors,0,Watch,0,Color,0,Watch,0,Art coloes,0,Colors,0,Art,0,Color,0,Art,0,Art,0,Colors,0,Color,0,,,Color,0,Art,0,Cup,2,Art,0,Color,0,Color,0,Picture,0,Banana,2,Clock,0,Cup,2,Art,0,White,0,Color,0,
hQlxId1Ft5,lipstick  ,2,nothing,0,Gorilla,2,nothing,0,nothing,0,nothing,0,Room,0,nothing,0,nothing,0,Pitcher of iced tea,0,nothing,0,nothing,0,nothing,0,nothing,0,tree trunk,0,nothing,0,spider or ant,2,nothing,0,abstract painting,0,nothing,0,nothinh,0,Zebra,2,nothing,0,Daisy,2,Butterfly,0,nothing,0,Hockey helmet,0,nothing,0,nothing,0,nothing,0,
RDgVfrUCU4,lipstick  ,2,,,Orangutan,2,,,donuts,2,cowboy hat,2,very old car,2,metal fan,2,tiger,2,stocking,2,dog,2,kangaroo,2,eggs in a basket,2,elephant,2,I have no idea,0,some kind of bird?,2,ant or spider,2,leopard,2,someone in a boat?,2,pot,2,piano,2,zebra,2,gun,2,flower,2,banana,2,planes?,2,a glass,2,no clue,0,watches?,2,"a ram or lamb, maybe?",2,
MMrNXI5KlD,flowers  ,0,scribbles,0,dog,0,watch,2,none,0,cowboy hat,2,house,0,wheel,2,blobs ,0,none,0,dog,2,deer,2,balls,2,dog,2,fish,2,none,0,bug,2,cheetah ,2,bug,0,cup,2,piano ,2,zebra,2,gun,2,flower,2,none,0,animal ,0,fish hook,0,green blobs ,0,none,0,spots,0,
wUuMfqMaXX,bullets  ,0,colors in a painting,0,gorilla,2,watch,2,none,0,cowboy hat,2,brushstrokes of color,0,an electrical fan,2,tiger,2,just colors,0,dog,2,kangaroo,2,marbles,2,elephant,2,none,0,none,0,spider,2,leopard,2,none,0,pot,2,piano,2,zebra,2,gun,2,daisy,2,bananas,2,none,0,glass,2,none,0,watches,2,none,0,
XhN2EjxH6e,"lipstick
  ",,rainbow,0,gorilla,2,clock,2,nothing,0,cowboy hat,2,wagon,2,wheel,2,tiger,2,ostrich,0,dog,2,bunny,2,eggs,2,elephant,2,nothing,0,swan,2,spider,2,leopard,2,bat,0,pot,2,piano,2,zebra,2,glasses,0,sunflower,2,bananas,2,insects,0,coffee can,0,newspaper,0,eyes,0,animal,0,
eObQAyPBNj,Lipstick  ,2,Stains,0,Gorilla,2,Clock,2,Tower,0,Hat,2,Wagon,2,Fan,2,Tiger,2,Llama,0,Horse,2,Deer,2,Eggs,2,Elephant,2,Arch,0,Flamingo,2,Spider,2,Cheetah,2,Nothing in particular,0,Pot,2,Piano,2,Zebra,2,Gun,2,Flower,2,Banana,2,Plane,2,Paint bucket,2,Waves,0,Holes,0,Gazelle,2,
FC9VsuFlga,lipstick  ,2,rainbow of colors like painting,0,gorilla,2,watch,2,snake,0,hat,2,carriage,2,umbrella,0,clouds,0,horse,0,dog,2,kangaroo,2,eggs,2,elephant,2,eels,2,worm,0,eyes,0,leopard,2,a man,2,pot,2,piano,2,zebra,2,gun,2,flower,2,snake,0,ark,0,knife,0,a bad channel on tv,0,3 watches,2,unicorn,2,
WCaJAi6949,none  ,0,none,0,bear,2,none,0,tiger,0,none,0,none,0,target board,0,none,0,tree,0,none,0,none,0,man,0,none,0,fish,2,none,0,insect,2,leapord,2,none,0,tea,0,phone,0,zebra,2,none,0,flower,2,cloud,0,none,0,none,0,none,0,none,0,none,0,
mgOhTEu9Gp,"ice cream
  ",,rainbow,0,gorilla,2,clock,2,snake,0,apple,0,grass,0,wheel,2,waves,0,cake,0,dog,2,deer,2,waffle,0,elephant,2,lightening,0,rooster,0,ant,2,cheetah,2,bird,0,bucket,2,none,0,zebra,2,none,0,flower,2,banana,2,bird,2,glass,2,water,0,bees,0,waves,0,
Du5jWXzH3A,tigers  ,0,tie-dye pattern,0,baboon face,2,watch or compass,2,none,0,cowboy hat,2,vehicle,2,radar screen,0,none,0,statue of liberty ,0,,,deer,2,fruit,2,elephant,2,fish,2,bird,2,spider,2,snake,0,woman,2,bucket with handle,2,piano,2,zebra,2,none,0,flowers,2,melon,2,tree branch,0,glass,2,water,0,none,0,none,0,
TuBGUxoHJq,Lipstick.,2,Nothing except a rainbow of colors.,0,Orangutan.,2,A clock,2,Snake,0,Cowboy hat,2,Carriage ,2,Fan,2,Tiger,2,Sock,2,Dog,2,Kangaroo ,2,Eggs,2,Elephant,2,Eye,2,Pelican,2,Ant,2,Leopard,2,Dancer,2,Bucket,2,Piano,2,Zebra,2,Revolver ,2,Flower,2,Banana ,2,Insect,0,Pail ,2,Cello,2,Mask,0,Animal,2,
isWlxXLTSx,lipstick  ,2,trees,0,ape,2,a badge of some type,2,donuts,2,cowboy hat,2,an old car,2,electric fan,2,lion,2,,,dog,2,kangaroo,2,eggs,2,elephant,2,lizard,2,Herons,2,eyes,0,leopard,2,lighthouse,0,pail,2,piano,2,zebra,2,revolver,2,flower,2,banana,2,a cape,0,a bottle,0,flowers,0,a hand,0,a lamb,2,
FNtbrDz7D4,Rocks  ,0,Paint,0,gorilla,2,Wall,0,Tree,0,Hat,2,Car,2,Fan,2,Tiger,2,Sock,2,Horse,2,Kangaroo,2,Eggs,2,Elephant,2,Eye,2,Pellican,2,Ant,2,Cheetah,2,Bug,0,Pot,2,Piano,2,Zebra,2,Gun,2,Flower,2,Banana,2,Plane,2,Cup,2,Person,0,Binoculars,0,Bird,0,
C8cDEFBE4B,bullets  ,0,spider,2,monkey,2,phone,0,none,0,cowboy hat,2,buggy,0,fan,2,tiger,2,deer,0,dog,2,rabbit,2,eggs,2,elephant,2,eye,2,stork,2,spider,2,cheetah,2,none,0,bucket,2,piano,2,zebra,2,gun,2,flower,2,banana,2,none,0,paint can ,2,violin,2,watches,2,dog,2,
4H7joz3ezn,Lipstick  ,2,none,0,rock,0,Watch,2,none,0,hat,2,none,0,Fan,2,none,0,wine bottle,0,owl,0,none,0,balls,2,horse,2,none,0,fish,0,none,0,none,0,none,0,coffee cup,2,table,0,zebra,2,none,0,daisy,2,banana,2,none,0,wine glass,2,none,0,none,0,none,0,
7JlfqrNXhE,  lipstick,2,none,0,ape,2,none,0,none,0,none,0,none,0,none,0,tiger,2,none,0,none,0,deer,2,eggs,2,elephant,2,none,0,pelican,2,spider,2,leopard,2,woman in dress,2,bucket,2,none,0,zebra,2,gun,2,flowers,2,fruit,2,none,0,none,0,none,0,none,0,none,0,
